protein_annotation	regex_label	manual_label	label_id
Activator 1 36 kDa, putative	proper	uninformative	0
ARAD1C36740p	proper	uninformative	0
Abasic site processing protein YMR114C	proper	proper	2
Amino acid dehydrogenase	proper	proper	2
Transcription regulator HTH, LysR	proper	proper	2
LytTR family transcriptional regulator	proper	proper	2
Cell wall-associated hydrolases	proper	proper	2
Recombination protein U	proper	proper	2
Snf2 family helicase-like protein	proper	proper	2
GD15429	proper	uninformative	0
Glucagon receptor	proper	proper	2
uncharacterized protein LOC116221794	uninformative	uninformative	0
Uncharacterized conserved protein UCP015417, vWA	proper	uninformative	0
FAD/FMN-containing dehydrogenase	proper	proper	2
Epimerase/dehydratase	proper	proper	2
Prohibitin 6	proper	proper	2
Phage exonuclease Putative phage-encoded enzyme involved in integration-recombination	proper	proper	2
ATPase central domain-containing protein	proper	proper	2
Putative AdoMet-dependent methyltransferase	proper	proper	2
Poly	proper	uninformative	0
Ser/thr protein phosphatase family protein	proper	proper	2
Si:ch211-256e16.3	proper	uninformative	0
Putative DNA binding CopG/RHH family protein	proper	proper	2
nitrile-specifier protein 5-like	proper	proper	2
Nucleosome remodeling complex atpase subunit	proper	proper	2
Probable bacteriophage t7-related protein protein	proper	uninformative	0
Phage tail length tape measure protein	proper	proper	2
N-glycanase_C domain-containing protein	proper	proper	2
Iron-regulated protein	proper	proper	2
Kelch protein 10	proper	proper	2
M23 family peptidase	proper	proper	2
Kelch domain-containing isoform A	proper	proper	2
tRNA methyltransferase	proper	proper	2
BRO, N-terminal	proper	proper	2
StsF protein	proper	proper	2
Peptidase subunit of mitochondrial ATP-dependent protease hslUV	proper	proper	2
Head-tail connector protein	proper	proper	2
Cruciform cutting endonuclease Cce1	proper	proper	2
Ribosomal-protein-S5-alanine N-acetyltransferase	proper	proper	2
Putative phage terminase, small subunit	proper	proper	2
DNA topoisomerase II	proper	proper	2
Peptidase_M17_N domain-containing protein	proper	proper	2
Ectoderm-neural cortex protein 2	proper	proper	2
RanBD1 domain-containing protein	proper	proper	2
Chloramphenicol phosphotransferase family protein	proper	proper	2
F-box/kelch-repeat protein At2g44130-like	proper	proper	2
Lysyl hydroxylase/galactosyltransferase/ glucosyltransferase	proper	proper	2
VCP, transitional endoplasmic reticulum ATPase	proper	proper	2
UvrABC system protein A	proper	proper	2
Hydroxymethylglutaryl-CoA reductase (NADPH)	proper	proper	2
3D (Asp-Asp-Asp) domain-containing protein	proper	low	1
Gliding motility-associated-like protein	proper	proper	2
Phage major capsid protein E	proper	proper	2
Chromodomain-helicase-DNA-binding protein 1-like isoform 1	proper	proper	2
Putative partitioning protein	proper	proper	2
Sodium/hydrogen exchanger family-domain-containing protein	proper	proper	2
TYW3 domain-containing protein	proper	proper	2
Kelch-like protein 2 isoform X5	proper	proper	2
Lyase, putative	proper	proper	2
Chaperonin 60 subunit beta 2, chloroplastic	proper	proper	2
Putative Phage portal protein, lambda family	proper	proper	2
Peptidase M15A/endolysin gp23	proper	proper	2
Mannose-6-phosphate isomerase, cupin superfamily	proper	proper	2
GIP protein	proper	proper	2
Thioredoxin-like protein 1	proper	proper	2
Gas-vesicle operon protein GvpN	proper	proper	2
RAD51 paralog D	proper	proper	2
Superoxide dismutase [Mn]	proper	proper	2
GST C-terminal domain-containing protein	proper	proper	2
Nicotinamide phosphoribosyltransferase 1	proper	proper	2
Glutathione synthase/RimK-type ligase-like ATP-grasp enzyme	proper	proper	2
Flavorubredoxin	proper	proper	2
Glucosamine 6-phosphate N-acetyltransferase 1	proper	proper	2
Kelch like family member 7	proper	proper	2
GAT1, GATA Zn-finger-containing transcription factor	proper	proper	2
Glucagon-like peptide 1 receptor	proper	proper	2
FHA domain protein	proper	proper	2
Pentraxin fusion-like protein	proper	proper	2
Sheath structural protein	proper	proper	2
DUF2815 family protein	low informative	low	1
Chemotaxis protein	proper	proper	2
GGDEF protein	proper	proper	2
Regulatory prophage protein cI	proper	proper	2
Mechanosensitive ion channel	proper	proper	2
KPRB protein	proper	proper	2
DNA_pol3_beta_3 domain-containing protein	proper	proper	2
Attractin isoform X1	proper	proper	2
Uncharacterized protein AF_1796	uninformative	uninformative	0
helicase-like transcription factor CHR28 isoform X5	proper	proper	2
DDE_Tnp_1_7 domain-containing protein	proper	proper	2
Kelch-like protein 32 BTB and kelch domain-containing protein 5	proper	proper	2
Swarming motility protein	proper	proper	2
BMA-KEL-1	proper	uninformative	0
KpsF-like protein	proper	proper	2
MGME1	proper	proper	2
Deoxycytidylate deaminase isoform a	proper	proper	2
Podospora anserina S mat+ genomic DNA chromosome 1, supercontig 4	proper	uninformative	0
HBL038Cp	proper	uninformative	0
uncharacterized protein LOC113492616 isoform X5	proper	uninformative	0
Head morphogenesis protein	proper	proper	2
SWIM zinc finger	proper	proper	2
Negative transcription regulator padR	proper	proper	2
L-2-haloalkanoic acid dehalogenase	proper	proper	2
Membrane protein TerC	proper	proper	2
RuBisCO large subunit-binding protein subunit alpha, chloroplastic	proper	proper	2
Protein export cytoplasm protein SecA ATPase RNA helicase	proper	proper	2
Bacteriophage HNH endonuclease	proper	proper	2
Putative zinc finger/helix-turn-helix protein, YgiT family	proper	proper	2
Chloramphenicol resistance protein	proper	proper	2
Peptidoglycan binding domain containing protein	proper	proper	2
Global transcription factor group A2, putative	proper	proper	2
Polyketide synthase PksL	proper	proper	2
Putative von Willebrand factor, type A	proper	proper	2
ATP/GTP-binding motif protein	proper	proper	2
DNA repair exonuclease SbcD	proper	proper	2
Helix-turn-helix domain of transposase family ISL3	proper	proper	2
Na(+)/H(+)-K(+) antiporter GerN	proper	proper	2
Methylthioribulose-1-phosphate dehydratase	proper	proper	2
Putative 5'-3' exonuclease	proper	proper	2
Bacterial Ig-like domain protein	proper	proper	2
Putative DUF1833 protein	low informative	low	1
5'3'-deoxyribonucleotidase, cytosolic type	proper	proper	2
PBECR3 domain-containing protein	proper	proper	2
Putative coiled-coil protein SlyX	proper	proper	2
Nudix (MutT) family hydrolase/pyrophosphatase	proper	proper	2
Cupin region protein	proper	proper	2
Death-on-curing family protein	proper	proper	2
Cytosine-specific methyltransferase	proper	proper	2
Domain of uncharacterized function (DUF955)	low informative	low	1
Phage DNA polymerase	proper	proper	2
acyl-CoA-binding domain-containing protein 5	proper	proper	2
inner nuclear membrane protein Man1-like isoform X1	proper	proper	2
DUF2076 domain-containing protein	low informative	low	1
Uncharacterized protein YgiM (DUF1202 family)	low informative	low	1
SpoIID/LytB domain-containing protein	proper	proper	2
Prophage pi1 protein 09	proper	uninformative	0
phosphoribosyl pyrophosphate synthase-associated protein 1 isoform X1	proper	proper	2
HSP60 protein	proper	proper	2
Protein NrdI	proper	proper	2
Partitioning protein	proper	proper	2
AAA family ATPase-like protein	proper	proper	2
Periplasmic protein: Putative periplasmic protein	proper	low	1
Ribonucleotide reductase, beta subunit	proper	proper	2
LytTR family two component transcriptional regulator	proper	proper	2
RNA polymerase sigma-70 factor (ECF subfamily)	proper	proper	2
Putative soluble lytic transglycosylase fused to an ABC-type amino acid-binding protein	proper	proper	2
ClpP protease-like protein	proper	proper	2
Putative terminal organelle assembly protein TopJ	proper	proper	2
GAF sensor-containing diguanylate cyclase/phosphodiesterase	proper	proper	2
60 kDa chaperonin 5	proper	proper	2
SDR family NAD(P)-dependent oxidoreductase	proper	proper	2
KpsF/GutQ family protein	proper	proper	2
DUF3365 domain-containing protein	low informative	low	1
Anaphase-promoting complex, cyclosome, subunit 3	proper	proper	2
Recombinase rad51, putative	proper	proper	2
BRO N-terminal domain containing protein	proper	proper	2
Phage tail assembly chaperone family protein, TAC	proper	proper	2
Gp44 domain protein	uninformative	uninformative	0
Type VI secretion system protein VasI	proper	proper	2
Bicupin oxalate decarboxylase/oxidase	proper	proper	2
Stomatin mitochondrial	proper	proper	2
RC104	proper	uninformative	0
MADS-box domain-containing protein	proper	proper	2
Predicted phosphatase, HAD family	proper	proper	2
Protein F12M16.25	proper	uninformative	0
Putative ATPase (DUF699)	low informative	proper	2
Macrodomain protein	proper	proper	2
ABC-type amino acid transport system	proper	proper	2
Protein-like protein	proper	uninformative	0
DNA, contig: SP610	uninformative	uninformative	0
TATA-binding protein	proper	proper	2
Group 1 glycosyl transferase	proper	proper	2
Bacteriophage late control gene D protein	proper	proper	2
Sensor histidine kinase	proper	proper	2
Export associated protein	proper	low	1
GTP cyclohydrolase I FolE	proper	proper	2
Collagen type VI alpha 5 chain	proper	proper	2
Beta-glucanase (GH16 family)	proper	proper	2
ATP-dependent helicase STH1/SNF2	proper	proper	2
Cohesin domain protein	proper	proper	2
Altered inheritance of mitochondria protein 41	proper	proper	2
IscS protein	proper	proper	2
aspartate beta-hydroxylase domain-containing protein 2 isoform X1	proper	proper	2
Protein gp16	uninformative	uninformative	0
3-oxoacyl-[acyl-carrier protein] reductase	proper	proper	2
Immunoglobulin-binding regulator B family protein	proper	proper	2
Heme peroxidase	proper	proper	2
D-alanine--D-alanine ligase	proper	proper	2
DUF536 domain-containing protein	low informative	low	1
Aspartate kinase	proper	proper	2
Lactonase-like protein	proper	proper	2
BQ5605_C026g10214 protein	proper	uninformative	0
Uncharacterized homolog of phage Mu protein gp47	proper	proper	2
ATPase, AAA family	proper	proper	2
Unplaced genomic scaffold supercont1.4, whole genome shotgun sequence	uninformative	uninformative	0
Peptide chain release factor PrfB1 chloroplastic	proper	proper	2
Guanosine-3	proper	uninformative	0
Peptide chain release factor 2 programmed frameshift-containing	proper	proper	2
Putative head morphogenesis protein of bacteriophage	proper	proper	2
Aspartyl-tRNA amidotransferase subunit B	proper	proper	2
tRNA (guanine(26)-N(2))-dimethyltransferase	proper	proper	2
Si:ch211-63p21.8	proper	uninformative	0
transitional endoplasmic reticulum ATPase-like	proper	proper	2
Fur-regulated protein	proper	proper	2
NrtR-regulated NrtX	proper	proper	2
Peptide chain release factor, chloroplastic	proper	proper	2
Transcriptional regulator LysR	proper	proper	2
Integrin beta 8	proper	proper	2
Putative DNA replication factor C subunit Rfc4	proper	proper	2
Putative RNase_H superfamily protein	proper	proper	2
Fatty acid synthase S-acetyltransferase	proper	proper	2
Probable DNA-directed RNA polymerase	proper	proper	2
Phage major tail protein TP901-1 family	proper	proper	2
