protein_annotation	regex_label	manual_label	note
RNA polymerase sigma-E factor	proper	proper	
Kelch-like protein 20 (Kelch-like ECT2-interacting protein) (Kelch-like protein X)	proper	proper	
Sodium/hydrogen exchanger	proper	proper	
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like 1	proper	proper	
Regulatory inactivation of DnaA Hda protein	proper	proper	
DNA helicase TraI type C-terminal domain-containing protein	proper	proper	
TubC N-terminal docking domain-containing protein	proper	proper	
TniQ protein	proper	uninformative	I don't immediately get the protein function when looking it up on UniProt, so it is sadly just a protein name
Putative phage major tail protein, TP901-1 family	proper	proper	
T-complex protein 1 subunit zeta (TCP-1-zeta) (Acute morphine dependence-related protein 2) (CCT-zeta-1) (Chaperonin containing T-complex polypeptide 1 subunit 6A) (HTR3) (Tcp20)	proper	proper	
Hydrogen peroxide-inducible genes activator	proper	proper	
Gamma-glutamylcyclotransferase (GGCT)/AIG2-like uncharacterized protein YtfP	proper	proper	
Alcohol dehydrogenase-like protein	proper	proper	
PhoH-like protein domain-containing protein	proper	proper	
Putative prophage repressor	proper	proper	
Protein of hypothetical function SprT	proper	uninformative	
Putative AraC family transcriptional regulator	proper	proper	
NWD NACHT-NTPase N-terminal domain-containing protein	proper	proper	
SbsB protein	proper	uninformative	I don't immediately get the protein function when looking it up on UniProt, so it is sadly just a protein name
glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase) (Beta-1,3-endoglucanase)	proper	proper	
Uncharacterized protein HI1418	uninformative	uninformative	
Calcium-binding protein	proper	proper	
Kelch repeat type 1 domain containing protein	proper	proper	
Putative chromosome partitioning protein ParB	proper	proper	
Phage major head subunit gpT-like protein	proper	proper	
Putative prophage phiRv2 integrase	proper	proper	
Peptidase M23-like protein	proper	proper	
Putative serine protease XkdF	proper	proper	
Murein hydrolase activator NlpD	proper	proper	
Anaerobic ribonucleoside-triphosphate reductase activating protein	proper	proper	
Bifunctional DNA primase/helicase	proper	proper	
Phosphoadenosine phosphosulfate reductase (EC 1.8.4.8)	proper	proper	
Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (GNT-I) (GlcNAc-T I) (EC 2.4.1.101) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase I)	proper	proper	
Capsid-like protein	proper	proper	
CHD3-type chromatin-remodeling factor PICKLE isoform X2	proper	proper	
Terminase large subunit (Gp2)	proper	proper	
Phage virion morphogeneis protein	proper	proper	
Internal virion protein B	proper	proper	
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial	proper	proper	
Band 7 protein AAEL010189	proper	uninformative	I don't immediately get the protein function when looking it up on UniProt, so it is sadly just a protein name
DNA repair protein RadB	proper	proper	
Peptide alpha-N-acetyltransferase	proper	proper	
Aromatic ring-opening dioxygenase	proper	proper	
Alpha-L-glutamate ligase RimK family	proper	proper	
Lipoprotein SmpA/OmlA domain-containing protein	proper	proper	
Ribonuclease H	proper	proper	
KLH28	proper	proper	Kelch-like protein
Probable secreted protein	proper	low	
RNase III regulator YmdB	proper	proper	
Putative tellurium resistance protein	proper	proper	
Inactivated superfamily I helicase	proper	proper	
Fic/DOC family protein	proper	proper	
Thioredoxin reductase (TRXR) (EC 1.8.1.9)	proper	proper	
SPFH domain Band 7 family protein	proper	proper	SPFH has a function I immediately find, hence proper
Thioredoxin	proper	proper	
Recombinase XerC	proper	proper	
Swi snf-related matrix-associated actin-dependent regulator of chromatin subfamily a-like protein1	proper	proper	
Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 isoform X1	proper	proper	
Bacteriophage head-to-tail connecting protein	proper	proper	
Thrombospondin-related anonymous protein	proper	proper	
Transposon Tn7 transposition protein TnsA	proper	proper	
Immunoglobulin-binding regulator A	proper	proper	
F-box/kelch-repeat protein At3g27150	proper	proper	
Sll1037 protein	proper	proper	
Cytochrome c3	proper	proper	
SsfX3	proper	proper	
Novel immune-type receptor 2	proper	proper	
Beta-galactosidase-like protein	proper	proper	
DUF1559 domain-containing protein	low informative	low	
Acetyltransferase AlgX (SGNH hydrolase-like protein)	proper	proper	
5'-deoxynucleotidase YfbR (EC 3.1.3.89) (5'-deoxyribonucleotidase) (Nucleoside 5'-monophosphate phosphohydrolase)	proper	proper	
Putative phage regulatory protein Rha family	proper	proper	
Carbohydrate isomerase	proper	proper	
DNA RNA helicase	proper	proper	
ATP-dependent RNA helicase DBP5 (EC 3.6.4.13) (DEAD box protein 5) (Helicase CA5/6) (Ribonucleic acid-trafficking protein 8)	proper	proper	
Uncharacterized protein (Competence-and mitomycin-induced)	proper	low	
ATPase family AAA domain-containing protein 3	proper	proper	
Prolyl 3-hydroxylase OGFOD1-like	proper	proper	
Tubulin epsilon chain (Epsilon-tubulin)	proper	proper	
EsiB protein	proper	proper	
Holliday junction resolvasome endonuclease subunit-like protein	proper	proper	
1-aminocyclopropane-1-carboxylate deaminase, putative	proper	proper	
Wenxma_14, whole genome shotgun sequence	uninformative	uninformative	
MotA/TolQ/ExbB proton channel family protein	proper	proper	
Ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent (EC 1.17.4.2)	proper	proper	
Putative N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9) (ManNAc-6-P epimerase)	proper	proper	
HTH-type transcriptional regulator LysG	proper	proper	
diacetyl reductase [(S)-acetoin forming] (EC 1.1.1.304)	proper	proper	
"Paraclostridial mosquitocidal protein 1 (PMP1) [Cleaved into: Paraclostridial mosquitocidal protein 1 light chain (LC) (EC 3.4.24.69); Paraclostridial mosquitocidal protein 1 heavy chain (HC)]"	proper	proper	
Sm protein E	proper	proper	
Cyclic phosphodiesterase	proper	proper	
NADH dehydrogenase subunit 4	proper	proper	
CBM3 domain-containing protein	proper	proper	
CalO1	proper	proper	
Prophage replication protein	proper	proper	
Putative Bacteriophage tail assembly protein	proper	proper	
Phage terminase large subunit family protein	proper	proper	
Glycosyltransferase involved in cell wall biosynthesis/GT2 family glycosyltransferase	proper	proper	
Gp88	uninformative	uninformative	
ParBC domain-containing protein (PadC)	proper	proper	
DNA methyltransferase (DNA wielding protein skin element)	proper	proper	
VOC family protein	proper	proper	
Deoxycytidylate deaminase, putative (EC 3.5.4.12)	proper	proper	
Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79)	proper	proper	
DNA single-strand annealing protein invovled in recombination	proper	proper	
DNA polymerase III beta subunit family protein (EC 2.7.7.7)	proper	proper	
Plasmid partitioning protein ParB	proper	proper	
Protein containing IPT/TIG domain	proper	proper	
Other/FunK1 protein kinase	proper	proper	
Chromatin remodeling factor mit1	proper	proper	
Cellulase family glycosylhydrolase	proper	proper	
Bifunctional AAA family ATPase chaperone/translocase BCS1	proper	proper	
Autolytic lysozyme (EC 3.2.1.17)	proper	proper	
Replication factor C (activator 1) 5	proper	proper	
DUF2225 domain-containing protein	low informative	low	
GIY-YIG intron encoded protein	proper	proper	
Putative peptide chain release factor H	proper	proper	
Conserved hypothetical exported protein	proper	low	
Uncharacterized protein LOC113741022	uninformative	uninformative	
Transcriptional regulator, PadR family	proper	proper	
1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase	proper	proper	
Prophage PSPPH02 chitinase	proper	proper	
Formylmethanofuran dehydrogenase subunit E	proper	proper	
FACT complex subunit SSRP1	proper	proper	
Putative aspartyl beta-hydroxylase	proper	proper	
Nitrite reductase [NAD(P)H] large subunit	proper	proper	
Type II/IV secretion system secretin RcpA/CpaC	proper	proper	
Na+/H+ antiporter NhaP (Sodium:proton antiporter)	proper	proper	
Putative DNA protecting protein DprA	proper	proper	
Putative helicase (Phage associated)	proper	proper	
Ribonucleoside-diphosphate reductase small chain 1	proper	proper	
Polynucleotide 5'-hydroxyl-kinase	proper	proper	
Amidase signature enzyme	proper	proper	
4-phospho-panto-thenoylcysteine synthetase	proper	proper	
Polymerase nucleotidyl transferase domain-containing protein	proper	proper	
Chromosome partitioning protein, DNA-binding protein	proper	proper	
Crossover junction endodeoxyribonuclease RusA	proper	proper	
Peptidase C58 YopT-type domain-containing protein	proper	proper	
Putative chaperone and heat shock protein 70	proper	proper	
Antirestriction protein Klca	proper	proper	
Protease modulator HflK	proper	proper	
DUF3077 family protein	low informative	low	
ADP ribosyltransferase domain-containing protein	proper	proper	
Exonuclease SbcCD, D subunit	proper	proper	
Ribose 5-phosphate isomerase A (EC 5.3.1.6)	proper	proper	
Diguanylate cyclase (GGDEF)-like protein/PAS domain S-box-containing protein	proper	proper	
Phosphoribulokinase/uridine kinase domain-containing protein	proper	proper	
Calmodulin-1	proper	proper	
Haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED/haloacid dehalogenase superfamily, subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E	proper	proper	
HIM domain protein	proper	proper	
Type II secretion system protein GspC N-terminal domain-containing protein	proper	proper	
Related to estradiol 17 beta-dehydrogenase	proper	proper	
Alpha-amylase	proper	proper	
Uncharacterized conserved protein, implicated in type VI secretion and phage assembly	proper	proper	
Phosphoheptose isomerase (EC 5.3.1.-)	proper	proper	
pH-gated potassium channel KcsA	proper	proper	
Phosphatase IIIC	proper	proper	
HintN domain-containing protein	proper	proper	
Tetracyclin repressor-like C-terminal domain-containing protein	proper	proper	
Dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192)	proper	proper	
Auxin-binding protein 1 (ABP) (ERABP1)	proper	proper	
Peptidoglycan-binding domain 1 protein, general secretion pathway protein A	proper	proper	
Internal virion protein	proper	low	
Spore-cortex-lytic enzyme, putative	proper	proper	
Protein OSB1, mitochondrial	proper	proper	
CRISPR-associated protein Csm3	proper	proper	
Thiamine-phosphate pyrophosphorylase (EC 2.5.1.3)	proper	proper	
Endonuclease 1	proper	proper	
HD protein	proper	proper	
Ubiquitous surface protein A2	proper	low	
Uncharacterized protein LOC109469113	uninformative	uninformative	
DD-carboxypeptidase	proper	proper	
ParR family transcriptional regulator	proper	proper	
Superoxide dismutase	proper	proper	
Thiocyanate-forming protein	proper	proper	
FAD-dependent thymidylate synthase (EC 2.1.1.148)	proper	proper	
Trans-sialidase, putative	proper	proper	
H2A histone family, member Y2	proper	proper	
Uncharacterized protein LOC106152131	uninformative	uninformative	
Chitinase-like protein	proper	proper	
"Pre-baseplate central spike protein Gp5 (Pre-Gp5) (Peptidoglycan hydrolase gp5) (EC 3.2.1.17) [Cleaved into: Baseplate central spike protein Gp5* (Mature Gp5); Gp5C]"	proper	proper	
Electron transfer flavoprotein subunit beta	proper	proper	
Carbohydrate binding family 6	proper	proper	
HTH lysR-type domain-containing protein	proper	proper	
GGDEF protein	proper	proper	
Hsp60-like protein	proper	proper	
Thiamine biosynthesis protein	proper	proper	
Protein kinase-like protein containing BRO family, N-terminal domain	proper	proper	
DUF1804 family protein	low informative	low	
ATP-dependent Clp protease, protease subunit (EC 3.4.21.92)	proper	proper	
Hexitol phosphatase B (2-deoxyglucose-6-phosphate phosphatase) (EC 3.1.3.68) (Mannitol-1-phosphatase) (EC 3.1.3.22) (Sorbitol-6-phosphatase) (EC 3.1.3.50) (Sugar-phosphatase) (EC 3.1.3.23)	proper	proper	
Putative nucleoside triphosphate hydrolase	proper	proper	
TonB-dependent receptor plug domain-containing protein	proper	proper	
tRNA nucleotidyltransferase, A-adding (EC 2.7.7.72)	proper	proper	
Uncharacterized protein rth27	uninformative	uninformative	
Reverse transcriptase from mobile element jockey protein	proper	proper	
C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (FB22) (Fusin) (HM89) (LCR1) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Lipopolysaccharide-associated protein 3) (LAP-3) (LPS-associated protein 3) (NPYRL) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184)	proper	proper	
BRCT domain-containing protein	proper	proper	
Putative glutamine amidotransferase Rv2859c	proper	proper	
DNA polymerase-3 subunit epsilon/exodeoxyribonuclease X	proper	proper	
RliB protein	proper	proper	
Phage structural component	proper	proper	
Exported protein	low informative	low	
Putative bacteriophage DNA transposition	proper	proper	
Glycoside hydrolase 123 C-terminal domain-containing protein	proper	proper	
